City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
196,Aksarka,RU,66.5606,67.7975,-7.73,100,21,3.29,few clouds
197,Olafsvik,IS,64.8945,-23.7142,27.09,68,100,15.93,overcast clouds
198,Jardim,BR,-21.4803,-56.1381,96.06,36,22,2.84,few clouds
199,Gornopravdinsk,RU,60.05,69.9,17.49,96,100,2.66,light snow
200,Peru,US,40.7537,-86.0689,47.61,97,100,10.36,overcast clouds
201,Azul,AR,-36.777,-59.8585,96.46,23,0,8.48,clear sky
202,Otorohanga,NZ,-38.1833,175.2,58.17,98,9,1.5,clear sky
203,Bantogon,PH,6.5333,124.0333,77.23,85,99,2.82,overcast clouds
204,Necochea,AR,-38.5473,-58.7368,87.49,41,1,13.42,clear sky
205,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,75,40,25.32,scattered clouds
206,Dawei,MM,14.0833,98.2,67.75,68,7,4.61,clear sky
207,Zheleznodorozhnyy,RU,55.7503,38.0042,34.36,96,100,13.29,light snow
208,Governador Dix-Sept Rosado,BR,-5.4577,-37.5209,93.04,40,87,9.66,overcast clouds
209,Klaksvik,FO,62.2266,-6.589,34.72,66,99,26.78,overcast clouds
210,Kitimat,CA,54.0524,-128.6534,36.91,28,100,1.01,light rain
211,Champerico,GT,14.3,-91.9167,86.54,62,0,4.7,clear sky
212,Esil,KZ,51.9556,66.4042,-4.9,78,45,2.55,scattered clouds
213,Rio Gallegos,AR,-51.6226,-69.2181,78.85,29,0,8.05,clear sky
214,Auki,SB,-8.7676,160.7034,77.61,87,99,5.53,overcast clouds
215,Mackay,AU,-21.15,149.2,70.68,75,5,9.24,clear sky
216,Mahebourg,MU,-20.4081,57.7,77.29,94,75,11.5,shower rain
217,Ozernovskiy,RU,51.5,156.5167,16.7,84,100,23.69,snow
218,Abilene,US,32.4487,-99.7331,52.77,37,0,8.05,clear sky
219,Rawson,AR,-43.3002,-65.1023,97.09,24,0,11.5,clear sky
220,Bamiantong,CN,44.9333,130.5333,-4.07,99,99,1.03,overcast clouds
221,Coari,BR,-4.085,-63.1414,78.22,91,96,4.74,overcast clouds
222,Narsaq,GL,60.9167,-46.05,35.82,96,100,4.21,light rain
223,Roma,US,43.2128,-75.4557,35.08,93,100,8.05,snow
